,missing_count,missing_percent
Timestamp,0,0.0
Participant,0,0.0
Does your organization have well defined formal organizational structure and business processes?,0,0.0
"In your organization, after project is completed, you are doing formal analysis of the project (lessons learned)?",0,0.0
"If you need an advice or a help with some work tasks, you usually try to find solution using:",0,0.0
Do you use an internal Knowledge Base system that allows you to find specific knowledge and/or information that you need in your work?,0,0.0
Do you use such an internal system that allows you to find a colleague who has the specific knowledge you need in your job?,0,0.0
Do you use such an internal system that allows you to find information about projects where certain specific knowledge was used?,0,0.0
"Do you think that in your organization there is certain amount of hidden knowledge or knowledge that is not used, and should be?",0,0.0
"According to your estimation, what is the utilization of the total capacity of internal knowledge within your organization?",0,0.0
"According to your estimation, what is the level of economic value of hidden internal knowledge within your organization?",1,0.53
Do you think that there is a fear of knowledge sharing in your organization?,0,0.0
You acquired some new knowledge or competence in your field of work. Would you share your newly acquired knowledge with your colleagues?,0,0.0
You acquired some new knowledge that could improve your organization business values. Would you share your newly acquired knowledge with the management?,0,0.0
Do you find it more comfortable to work with colleagues who are closer to you in terms of personality?,0,0.0
Do you consider yourself an extrovert?,0,0.0
"Have you ever taken a personality assessment test like Big Five, Truity, DiSC, MBTI, etc. for any purpose?",0,0.0
Your organization plans to conduct a personality assessment test for all employees. Would you agree to participate in the test?,0,0.0
"In order to improve operations and achieve better business results, your organization plans to use employee personality profiles in its daily work. Would you consent to the organization using your personality profile for this purpose?",0,0.0
Do you think that AI can help you with your daily basis working tasks in any way?,0,0.0
"If AI could help you with your work, would you agree to AI analyze your interactions on internal official communication channels on a daily basis for this purpose?",0,0.0
"If AI could help you with your work, would you agree to AI analyze your publicly available profiles on social networks for this purpose?",0,0.0
Would you allow AI to analyze your work and the content generated as a result of your work to help other colleagues in their work?,0,0.0
Mark your gender,0,0.0
Mark which age group you belong to,0,0.0
Indicate the size of the organization in which you work (according to the number of employees)?,0,0.0
How long have you worked in the organization you work for?,0,0.0
Choose the level of your formal education,0,0.0
Your decision-making level in the organization you work for,0,0.0
